sdq2v9,sdq10v9,sdq15v9,sdq21v9,sdq25v9,q4v10,q8v10,q10v10,q41v10,q78v10,q93v10,q104v10
2,2,2,2,2,0,1,1,0,1,1,0
3,3,3,3,3,1,2,1,2,2,2,1
1,2,1,3,3,0,1,0,0,0,1,0
1,1,1,1,2,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
2,2,3,2,3,1,2,1,1,1,1,0
1,1,1,2,1,0,0,0,0,0,1,0
2,2,3,2,2,1,1,1,1,1,0,1
1,3,1,1,1,0,0,0,1,0,1,0
3,3,2,2,2,1,1,2,0,0,0,0
1,1,2,1,1,1,0,0,0,0,1,0
1,1,2,2,1,1,0,1,1,0,2,0
3,3,2,3,2,1,1,1,1,1,1,1
2,2,2,2,2,1,1,0,1,1,1,1
1,1,1,2,1,0,0,0,0,0,0,0
1,1,3,2,2,0,2,0,0,2,0,0
2,1,2,2,2,1,1,1,1,1,0,0
1,1,1,2,1,0,0,0,1,0,1,1
1,1,2,1,1,0,1,0,1,1,0,0
2,3,2,2,2,0,0,0,1,0,0,0
2,3,2,1,2,1,2,2,2,2,2,1
2,3,3,2,3,1,1,2,2,1,1,1
2,2,2,2,3,1,1,1,1,1,0,0
1,1,1,1,1,0,0,0,0,0,1,0
2,1,1,1,1,0,0,0,0,0,0,0
1,1,1,2,1,0,0,0,1,0,0,0
1,2,2,2,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
2,2,2,1,1,0,1,1,0,0,1,0
1,1,1,1,1,0,0,0,0,0,0,1
2,1,1,2,1,0,0,0,0,0,0,0
3,1,1,1,1,0,0,0,0,1,0,1
2,2,3,1,2,0,1,1,1,1,0,0
2,2,2,2,3,0,1,1,1,1,1,1
3,3,3,2,3,1,2,2,0,1,0,0
1,1,1,1,2,1,1,0,1,1,0,0
2,1,1,1,1,1,0,1,1,0,1,1
1,1,2,1,2,1,1,0,0,0,0,0
1,1,2,2,2,0,0,0,0,0,0,0
2,2,2,2,2,1,0,0,0,1,0,0
1,1,1,2,1,0,0,0,1,0,0,0
3,2,2,2,2,1,1,1,0,0,1,0
2,1,1,2,2,1,1,1,0,0,0,0
2,1,3,3,3,1,1,0,2,1,0,0
2,3,2,3,2,1,1,2,2,0,2,1
3,3,3,1,2,0,1,2,0,1,0,0
1,3,2,2,3,0,1,1,0,1,0,0
1,3,1,1,2,0,0,0,0,0,0,0
2,1,2,2,1,0,0,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
1,1,2,1,2,1,0,0,1,1,0,0
1,1,1,2,2,1,0,0,1,1,0,0
1,1,2,1,2,1,1,0,0,0,0,0
1,1,2,2,2,1,1,0,0,0,0,0
1,1,2,1,1,0,0,0,0,0,0,0
1,1,2,1,2,0,0,0,0,0,0,0
1,1,1,2,1,0,0,0,0,0,0,0
1,1,2,1,1,1,1,0,0,0,0,0
1,2,2,2,2,0,1,0,0,0,0,0
3,3,3,2,2,1,1,2,2,1,0,1
2,1,2,2,3,0,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0
1,1,2,2,2,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0
1,1,2,1,3,1,0,0,1,0,0,0
1,1,1,2,1,0,0,0,1,0,1,1
2,1,2,2,2,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
2,3,3,1,2,1,1,1,1,1,0,0
2,2,1,1,2,1,1,0,0,0,0,0
2,3,2,1,2,0,0,1,0,0,0,0
1,1,1,2,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
3,2,3,1,2,1,2,1,0,2,0,0
2,2,1,1,2,1,0,1,1,1,1,0
2,2,3,2,3,1,1,2,0,0,1,0
2,1,1,1,1,0,0,1,0,0,0,0
2,1,2,1,2,0,0,1,0,0,0,0
2,2,2,2,2,1,1,1,1,1,0,0
1,1,1,2,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0
1,2,2,1,1,1,0,1,0,0,0,0
1,1,1,3,1,0,0,0,0,0,0,1
2,2,3,1,2,1,1,0,1,1,0,0
2,2,2,1,2,1,1,0,1,1,0,0
2,2,2,1,2,0,0,1,0,0,0,0
1,1,1,2,1,0,0,0,0,0,0,0
2,3,2,1,2,0,0,0,0,0,1,0
3,3,2,1,2,0,1,1,0,1,0,0
